date,forecast,model,actual
2024-01-01 00:00:00,141500.35923718312,HTS 1,163598.0
2024-02-01 00:00:00,148564.77045603347,HTS 1,170305.0
2024-03-01 00:00:00,140091.71984824247,HTS 1,157683.0
2024-04-01 00:00:00,100946.21213535589,HTS 1,102172.0
2024-05-01 00:00:00,84012.85598294972,HTS 1,84116.0
2024-06-01 00:00:00,78338.00583244667,HTS 1,82402.0
2024-07-01 00:00:00,90717.54966792933,HTS 1,108089.0
2024-08-01 00:00:00,103066.07766757434,HTS 1,91504.0
2024-09-01 00:00:00,95565.64410967033,HTS 1,116003.0
2024-10-01 00:00:00,118832.114096106,HTS 1,130985.0
2024-11-01 00:00:00,141229.3941497716,HTS 1,145148.0
2024-12-01 00:00:00,146590.93455166454,HTS 1,176121.0
2024-01-01 00:00:00,142400.52694625038,HTS 2,163598.0
2024-02-01 00:00:00,139176.7646729799,HTS 2,170305.0
2024-03-01 00:00:00,134101.22184999377,HTS 2,157683.0
2024-04-01 00:00:00,100898.13708260837,HTS 2,102172.0
2024-05-01 00:00:00,80824.93386486048,HTS 2,84116.0
2024-06-01 00:00:00,84909.64957724379,HTS 2,82402.0
2024-07-01 00:00:00,103343.91797717393,HTS 2,108089.0
2024-08-01 00:00:00,95506.60525448901,HTS 2,91504.0
2024-09-01 00:00:00,88748.31424703995,HTS 2,116003.0
2024-10-01 00:00:00,98312.7906173692,HTS 2,130985.0
2024-11-01 00:00:00,104894.15861812755,HTS 2,145148.0
2024-12-01 00:00:00,129995.45642621517,HTS 2,176121.0
2024-01-01,132535.84455182112,SARIMAX,163598.0
2024-02-01,138608.67694542976,SARIMAX,170305.0
2024-03-01,133144.96353371863,SARIMAX,157683.0
2024-04-01,102560.87887747404,SARIMAX,102172.0
2024-05-01,79394.00034959213,SARIMAX,84116.0
2024-06-01,82091.57163736242,SARIMAX,82402.0
2024-07-01,96243.70382087908,SARIMAX,108089.0
2024-08-01,93475.76818806778,SARIMAX,91504.0
2024-09-01,88552.6613501751,SARIMAX,116003.0
2024-10-01,98511.73200276424,SARIMAX,130985.0
2024-11-01,107004.80231073336,SARIMAX,145148.0
2024-12-01,133609.9195563179,SARIMAX,176121.0
2024-01-01,141374.9,xgboost,163598.0
2024-02-01,136395.8,xgboost,170305.0
2024-03-01,127224.7,xgboost,157683.0
2024-04-01,87881.4,xgboost,102172.0
2024-05-01,84481.28,xgboost,84116.0
2024-06-01,81968.55,xgboost,82402.0
2024-07-01,90105.766,xgboost,108089.0
2024-08-01,106776.36,xgboost,91504.0
2024-09-01,95834.26,xgboost,116003.0
2024-10-01,124117.01,xgboost,130985.0
2024-11-01,139828.7,xgboost,145148.0
2024-12-01,160553.11,xgboost,176121.0
2024-01-01,133662.01511514297,ETS,163598.0
2024-02-01,129759.5269995354,ETS,170305.0
2024-03-01,123044.93790713018,ETS,157683.0
2024-04-01,90285.61432355552,ETS,102172.0
2024-05-01,73504.23093349823,ETS,84116.0
2024-06-01,93858.01437068782,ETS,82402.0
2024-07-01,96835.95617094806,ETS,108089.0
2024-08-01,92279.277107706,ETS,91504.0
2024-09-01,78868.54278091148,ETS,116003.0
2024-10-01,88924.81949404992,ETS,130985.0
2024-11-01,94688.13795279048,ETS,145148.0
2024-12-01,121095.9401642073,ETS,176121.0
2024-01-01,163598.0,actual,163598.0
2024-02-01,170305.0,actual,170305.0
2024-03-01,157683.0,actual,157683.0
2024-04-01,102172.0,actual,102172.0
2024-05-01,84116.0,actual,84116.0
2024-06-01,82402.0,actual,82402.0
2024-07-01,108089.0,actual,108089.0
2024-08-01,91504.0,actual,91504.0
2024-09-01,116003.0,actual,116003.0
2024-10-01,130985.0,actual,130985.0
2024-11-01,145148.0,actual,145148.0
2024-12-01,176121.0,actual,176121.0
